"RwID","SOATO_U","UKRNAME","RUSNAME","ENGNAME","SETTLTYPE","ZONE","NewFittedZone","REGION","DISTRICT","c25_gr1"
11371,"0523484701","Розкопане","Раскопаное","Rozkopane","село",0,0,"Вiнницька","Погребищенський",8.2
11372,"0523487202","Булаї","Булаи","Bulai","село",0,0,"Вiнницька","Погребищенський",8.2
11373,"4621288401","Унятичі","Унятичи","Uniatychi","село",0,0,"Львiвська","Дрогобицький",2.1
11374,"4621286301","Рихтичі","Рыхтичи","Rykhtychi","село",0,0,"Львiвська","Дрогобицький",1.3
11375,"0523482001","Довгалівка","Довгалевка","Dovhalivka","село",0,0,"Вiнницька","Погребищенський",8.2
11376,"4625181301","Верхній Лужок","Верхний Лужок","Verkhnii Luzhok","село",0,0,"Львiвська","Старосамбiрський",3.2
11377,"5322082501","Лутовинівка","Лутовиновка","Lutovynivka","село",0,0,"Полтавська","Козельщинський",3.21
11378,"4621582701","Жирова","Жирова","Zhyrova","село",0,0,"Львiвська","Жидачiвський",1.2
11379,"6123083601","Золота Слобода","Золотая Слобода","Zolota Sloboda","село",0,0,"Тернопiльська","Козiвський",2
11380,"4623083601","Держів","Держев","Derzhiv","село",0,0,"Львiвська","Миколаївський",1.5
11381,"5321887501","Чорбівка","Чорбовка","Chorbivka","село",0,0,"Полтавська","Кобеляцький",3.48
11382,"3224688202","Григорівка","Григоревка","Hryhorivka","село",0,0,"Київська","Тетiївський",23
11383,"5323486002","Андріївка","Андреевка","Andriivka","село",0,0,"Полтавська","Новосанжарський",3.52
11384,"7124981001","Білозір'я","Белозорье","Bilozir'ya","село",0,0,"Черкаська","Черкаський",9.6
11385,"4621284801","Лішня","Лешня","Lishnia","село",0,0,"Львiвська","Дрогобицький",1.9
11386,"6125284101","Козівка","Козовка","Kozivka","село",0,0,"Тернопiльська","Тернопiльський",2.1
11387,"3224481201","Веселий Кут","Веселый Кут","Veselyi Kut","село",4,0,"Київська","Таращанський",25.7
11388,"6825087102","Лапківці","Лапковцы","Lapkivtsi","село",0,0,"Хмельницька","Хмельницький",1.7
11389,"4621550500","Ходорів","Ходоров","Khodoriv","мiсто",0,0,"Львiвська","Жидачiвський",1.3
11390,"7122586701","Петрушки","Петрушки","Petrushky","село",4,0,"Черкаська","Корсунь-Шевченкiвський",60.4
11391,"6324884003","Олексіївка","Алексеевка","Oleksiivka","село",0,0,"Харкiвська","Сахновщинський",3.5
11392,"1222383501","Котовка","Котовка","Kotovka","село",0,0,"Днiпропетровська","Магдалинiвський",3.9
11393,"7122586303","Переможинці","Переможинцы","Peremozhyntsi","село",0,0,"Черкаська","Корсунь-Шевченкiвський",28.1
11394,"6323988505","Оддихне","Отдыхное","Oddykhne","село",0,0,"Харкiвська","Лозiвський",2.9
11395,"7122586301","Дацьки","Дацки","Dats'ky","село",0,0,"Черкаська","Корсунь-Шевченкiвський",30.1
11396,"6322280503","Червоний Жовтень","Червоный Жовтень","Chervonyi Zhovten'","село",0,0,"Харкiвська","Зачепилiвський",6
11397,"5322084803","Миргородщина","Миргородщина","Myrhorodshchyna","село",0,0,"Полтавська","Козельщинський",3.3
11398,"6123055100","Козова","Козова","Kozova","смт",0,0,"Тернопiльська","Козiвський",2
11399,"6322284001","Сомівка","Сомовка","Somivka","село",0,0,"Харкiвська","Зачепилiвський",6.2
11400,"6320483702","Дібровне","Дибровное","Dibrovne","село",0,0,"Харкiвська","Барвiнкiвський",4.2
11401,"5320655401","Ганнівка","Анновка","Hannivka","село",0,0,"Полтавська","Глобинський",3.37
11402,"6820981201","Бронівка","Бронивка","Bronivka","село",0,0,"Хмельницька","Волочиський",2
11403,"6825082401","Давидківці","Давыдковцы","Davydkivtsi","село",0,0,"Хмельницька","Хмельницький",4.4
11404,"6323982103","Жовтневе","Жовтневое","Zhovtneve","селище",0,0,"Харкiвська","Лозiвський",2.8
11405,"7124982001","Вергуни","Вергуны","Verhuny","село",0,0,"Черкаська","Черкаський",3.8
11406,"6820987201","Сарнів","Сарнов","Sarniv","село",0,0,"Хмельницька","Волочиський",2
11407,"6820980905","Медведівка","Медведевка","Medvedivka","село",0,0,"Хмельницька","Волочиський",1.9
11408,"6320483506","Червона Поляна","Червоная Поляна","Chervona Poliana","село",0,0,"Харкiвська","Барвiнкiвський",3.4
11409,"6124684601","Магдалівка","Магдалевка","Mahdalivka","село",0,0,"Тернопiльська","Пiдволочиський",1.6
11410,"5321880702","Бережнівка","Бережновка","Berezhnivka","село",0,0,"Полтавська","Кобеляцький",3.3
11411,"5322055100","Козельщина","Козельщина","Kozel'shchyna","смт",0,0,"Полтавська","Козельщинський",3.2
11412,"2624450100","Рогатин","Рогатин","Rohatyn","мiсто",0,0,"Iвано-Франкiвська","Рогатинський",1.7
11413,"6324885003","Костянтинівка","Константиновка","Kostiantynivka","село",0,0,"Харкiвська","Сахновщинський",5
11414,"3224688201","Черепин","Черепин","Cherepyn","село",0,0,"Київська","Тетiївський",23.5
11415,"4623080801","Більче","Бильче","Bil'che","село",0,0,"Львiвська","Миколаївський",1.5
11416,"4621587502","Кам'яне","Каменное","Kam'yane","село",0,0,"Львiвська","Жидачiвський",1.4
11417,"4621284301","Летня","Летня","Letnia","село",0,0,"Львiвська","Дрогобицький",1.4
11418,"6840100000","Хмельницький","Хмельницкий","Khmel'nyts'kyi","мiсто",0,0,"Хмельницька","м.Хмельницький (мiськрада)",6.1
11419,"0522485802","Кам'янка","Каменка","Kam'yanka","село",0,0,"Вiнницька","Лiтинський",10.7
11420,"5322482203","Писарщина","Писарщина","Pysarshchyna","село",0,0,"Полтавська","Кременчуцький",3.2
11421,"0523486401","Спичинці","Спичинцы","Spychyntsi","село",0,0,"Вiнницька","Погребищенський",8.2
11422,"4621583302","Дем'янка-Лісна","Демьянка-Лесная","Dem'yanka-Lisna","село",0,0,"Львiвська","Жидачiвський",1.5
11423,"1424284601","Маяки","Маяки","Maiaky","село",0,0,"Донецька","Слов'янський",5.1
11424,"0924883503","Піщане","Песчаное","Pishchane","село",0,0,"Луганська","Станично-Луганський",5.1
11425,"6820981203","Видава","Видава","Vydava","село",0,0,"Хмельницька","Волочиський",1.9
11426,"0924882501","Камишне","Камишное","Kamyshne","село",0,0,"Луганська","Станично-Луганський",4.5
11427,"1424282403","Адамівка","Адамовка","Adamivka","село",0,0,"Донецька","Слов'янський",4.7
11428,"1222381101","Бузівка","Бузовка","Buzivka","село",0,0,"Днiпропетровська","Магдалинiвський",4
11429,"6124682301","Іванівка","Ивановка","Ivanivka","село",0,0,"Тернопiльська","Пiдволочиський",1.7
11430,"0522486803","Лука","Лука","Luka","село",0,0,"Вiнницька","Лiтинський",6
11431,"6324884504","Кузьминівка","Кузьминовка","Kuz'mynivka","село",0,0,"Харкiвська","Сахновщинський",3.7
11432,"6820987601","Тарноруда","Тарноруда","Tarnoruda","село",0,0,"Хмельницька","Волочиський",1.6
11433,"1222383004","Минівка","Миновка","Mynivka","село",0,0,"Днiпропетровська","Магдалинiвський",3.8
11434,"7124987001","Степанки","Степанки","Stepanky","село",0,0,"Черкаська","Черкаський",4.5
11435,"0523486402","Васильківці","Васильковцы","Vasyl'kivtsi","село",0,0,"Вiнницька","Погребищенський",8.2
11436,"6323987007","Нова Мечебилівка","Новая Мечебиловка","Nova Mechebylivka","село",0,0,"Харкiвська","Лозiвський",2.8
11437,"7122589701","Шендерівка","Шендеровка","Shenderivka","село",4,0,"Черкаська","Корсунь-Шевченкiвський",35.3
11438,"6320483502","Велика Андріївка","Великая Андреевка","Velyka Andriivka","село",0,0,"Харкiвська","Барвiнкiвський",3
11439,"6124686701","Рожиськ","Рожиск","Rozhys'k","село",0,0,"Тернопiльська","Пiдволочиський",1.7
11440,"5322482201","Майбородівка","Майбородовка","Maiborodivka","село",0,0,"Полтавська","Кременчуцький",3.22
11441,"7122588102","Гута-Стеблівська","Гута-Стебловская","Huta-Steblivs'ka","село",4,0,"Черкаська","Корсунь-Шевченкiвський",252.2
11442,"6125055402","Конопківка","Конопковка","Konopkivka","село",0,0,"Тернопiльська","Теребовлянський",4.5
11443,"1424282401","Хрестище","Крестище","Khrestyshche","село",0,0,"Донецька","Слов'янський",4.8
11444,"0522282802","Петрівка","Петровка","Petrivka","село",0,0,"Вiнницька","Липовецький",8.2
11445,"6825081001","Бахматівці","Бахматовцы","Bakhmativtsi","село",0,0,"Хмельницька","Хмельницький",2.9
11446,"6125055401","Воля","Воля","Volia","село",0,0,"Тернопiльська","Теребовлянський",3.2
11447,"6320483701","Іллічівка","Ильичовка","Illichivka","село",0,0,"Харкiвська","Барвiнкiвський",3.7
11448,"4621283901","Івана Франка","Ивана Франко","Ivana Franka","село",0,0,"Львiвська","Дрогобицький",2.7
11449,"7124982002","Нечаївка","Нечаевка","Nechaivka","село",0,0,"Черкаська","Черкаський",3.2
11450,"0924884503","Малинове","Малиновое","Malynove","село",0,0,"Луганська","Станично-Луганський",4.9
11451,"6320483507","Червоне","Червоное","Chervone","село",0,0,"Харкiвська","Барвiнкiвський",3.6
11452,"6124650500","Скалат","Скалат","Skalat","мiсто",0,0,"Тернопiльська","Пiдволочиський",1.2
11453,"7122588103","Скрипчинці","Скрипчинцы","Skrypchyntsi","село",4,0,"Черкаська","Корсунь-Шевченкiвський",137.2
11454,"0924885001","Передільське","Передельское","Peredil's'ke","село",0,0,"Луганська","Станично-Луганський",5.5
11455,"6120486001","Посухів","Посухов","Posukhiv","село",0,0,"Тернопiльська","Бережанський",1.6
11456,"1222381103","Йосипівка","Йосиповка","Yosypivka","село",0,0,"Днiпропетровська","Магдалинiвський",3.8
11457,"3224482302","Антонівка","Антоновка","Antonivka","село",4,0,"Київська","Таращанський",30.8
11458,"3224286801","Стрижавка","Стрижавка","Stryzhavka","село",0,0,"Київська","Ставищенський",23.6
11459,"1424255900","Донецьке","Донецкое","Donets'ke","смт",0,0,"Донецька","Слов'янський",5.2
11460,"5321882601","Іванівка","Ивановка","Ivanivka","село",0,0,"Полтавська","Кобеляцький",3.36
11461,"7122587603","Тараща","Тараща","Tarashcha","село",0,0,"Черкаська","Корсунь-Шевченкiвський",19
11462,"6125087303","Підруда","Подруда","Pidruda","село",0,0,"Тернопiльська","Теребовлянський",1.4
11463,"6124681601","Городниця","Городница","Horodnytsia","село",0,0,"Тернопiльська","Пiдволочиський",1.3
11464,"2624485001","Помонята","Помонята","Pomoniata","село",0,0,"Iвано-Франкiвська","Рогатинський",1.4
11465,"6823087006","Розсохувата","Рассоховатая","Rozsokhuvata","село",0,0,"Хмельницька","Летичiвський",6
11466,"6825089601","Шаровечка","Шаровечка","Sharovechka","село",0,0,"Хмельницька","Хмельницький",6.3
11467,"3224684601","Михайлівка","Михайловка","Mykhailivka","село",0,0,"Київська","Тетiївський",22.8
11468,"0522280201","Біла","Белая","Bila","село",0,0,"Вiнницька","Липовецький",8.2
